[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SHOW COLUMNS FROM `jd_items_cate` [ RunTime:0.000648s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SHOW COLUMNS FROM `jd_items_tags` [ RunTime:0.000548s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SHOW COLUMNS FROM `jd_items_tags_item` [ RunTime:0.000476s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8] Undefined index: sortby CateAction.class.php 第 107 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SELECT `name`,`pid`,`seo_title`,`seo_keys`,`seo_desc` FROM `jd_items_tags` WHERE id=4 and is_del=0 LIMIT 1   [ RunTime:0.000364s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SELECT * FROM `jd_items_cate` WHERE id = 1 and is_del=0 and pid=0 LIMIT 1   [ RunTime:0.000289s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SELECT * FROM `jd_items_cate` WHERE pid = 1 and is_del = 0 ORDER BY ord desc LIMIT 10   [ RunTime:0.000402s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
