[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SELECT * FROM `jd_items_cate` WHERE id = 1 and is_del=0 and pid=0 LIMIT 1   [ RunTime:0.000294s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SELECT * FROM `jd_items_cate` WHERE pid = 1 and is_del = 0 ORDER BY ord desc LIMIT 10   [ RunTime:0.000431s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SELECT `id`,`name`,`item_nums`,`sid` FROM `jd_items_tags` WHERE sid in (7,8,9,10,11) and is_del = 0 ORDER BY ord desc LIMIT 200   [ RunTime:0.000613s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SELECT COUNT(*) AS tp_count FROM `jd_items_tags_item` LEFT JOIN  jd_items as i on i.id=jd_items_tags_item.item_id WHERE tag_id=4 and i.is_del=0 and i.status=1 LIMIT 1   [ RunTime:0.000295s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SELECT * FROM `jd_items_tags_item` LEFT JOIN  jd_items as i on i.id=jd_items_tags_item.item_id WHERE tag_id=4 and i.is_del=0 and i.status=1 ORDER BY ord desc,i.add_time desc LIMIT 0,20   [ RunTime:0.000350s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SHOW COLUMNS FROM `jd_album_items` [ RunTime:0.000662s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SHOW COLUMNS FROM `jd_album` [ RunTime:0.000707s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SHOW COLUMNS FROM `jd_items_comments` [ RunTime:0.000794s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SHOW COLUMNS FROM `jd_items_likes` [ RunTime:0.000535s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [2] Invalid argument supplied for foreach() BaseAction.class.php 第 88 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8] Undefined index: id BaseAction.class.php 第 106 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SHOW COLUMNS FROM `jd_shop` [ RunTime:0.000694s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SELECT `id`,`name`,`img`,`url` FROM `jd_shop` WHERE is_del=0 ORDER BY ord desc LIMIT 30   [ RunTime:0.000255s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | INFO: Tag[ view_template ] --START--
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | INFO: Run LocationTemplate Behavior [ RunTime:0.000109s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | INFO: Tag[ view_template ] --END-- [ RunTime:0.000143s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | INFO: Tag[ view_parse ] --START--
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
