[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SELECT `id`,`name`,`item_nums`,`sid` FROM `jd_items_tags` WHERE sid in (7,8,9,10,11) and is_del = 0 ORDER BY ord desc LIMIT 200   [ RunTime:0.000815s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SELECT COUNT(*) AS tp_count FROM `jd_items_tags_item` LEFT JOIN  jd_items as i on i.id=jd_items_tags_item.item_id WHERE tag_id=4 and i.is_del=0 and i.status=1 LIMIT 1   [ RunTime:0.000678s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SELECT * FROM `jd_items_tags_item` LEFT JOIN  jd_items as i on i.id=jd_items_tags_item.item_id WHERE tag_id=4 and i.is_del=0 and i.status=1 ORDER BY ord desc,i.add_time desc LIMIT 0,20   [ RunTime:0.000423s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SHOW COLUMNS FROM `jd_album_items` [ RunTime:0.000507s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SHOW COLUMNS FROM `jd_album` [ RunTime:0.000779s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SHOW COLUMNS FROM `jd_items_comments` [ RunTime:0.000703s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SHOW COLUMNS FROM `jd_items_likes` [ RunTime:0.000510s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | NOTIC: [2] Invalid argument supplied for foreach() BaseAction.class.php 第 88 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | NOTIC: [8] Undefined index: id BaseAction.class.php 第 106 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SHOW COLUMNS FROM `jd_shop` [ RunTime:0.000801s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SELECT `id`,`name`,`img`,`url` FROM `jd_shop` WHERE is_del=0 ORDER BY ord desc LIMIT 30   [ RunTime:0.000436s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | INFO: Tag[ view_template ] --START--
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | INFO: Run LocationTemplate Behavior [ RunTime:0.000095s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | INFO: Tag[ view_template ] --END-- [ RunTime:0.000124s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | INFO: Tag[ view_parse ] --START--
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
