[ 2020-11-09T16:05:02+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2020-11-09T16:05:02+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000252s ]
[ 2020-11-09T16:05:02+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000373s ]
[ 2020-11-09T16:05:02+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2020-11-09T16:05:02+08:00 ] / | SQL: SHOW COLUMNS FROM `jd_items` [ RunTime:0.001406s ]
[ 2020-11-09T16:05:02+08:00 ] / | SQL: SHOW COLUMNS FROM `jd_user` [ RunTime:0.001097s ]
[ 2020-11-09T16:05:02+08:00 ] / | NOTIC: [8] Undefined index: id BaseAction.class.php 第 22 行.
[ 2020-11-09T16:05:02+08:00 ] / | SQL: SHOW COLUMNS FROM `jd_items_cate` [ RunTime:0.001214s ]
[ 2020-11-09T16:05:02+08:00 ] / | SQL: SHOW COLUMNS FROM `jd_items_tags` [ RunTime:0.000759s ]
[ 2020-11-09T16:05:02+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T16:05:02+08:00 ] / | SQL: SELECT `id`,`name`,`pid`,`is_index`,`img` FROM `jd_items_cate` WHERE pid=0 and is_del=0 ORDER BY ord desc LIMIT 10   [ RunTime:0.000393s ]
[ 2020-11-09T16:05:02+08:00 ] / | SQL: SHOW COLUMNS FROM `jd_link` [ RunTime:0.000405s ]
[ 2020-11-09T16:05:02+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T16:05:02+08:00 ] / | SQL: SELECT `id`,`name`,`url` FROM `jd_link` WHERE is_del=0 ORDER BY ord desc LIMIT 6   [ RunTime:0.000268s ]
[ 2020-11-09T16:05:02+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T16:05:02+08:00 ] / | SQL: SELECT COUNT(ID) AS tp_count FROM `jd_items` WHERE status=1 and is_del=0 LIMIT 1   [ RunTime:0.000290s ]
[ 2020-11-09T16:05:02+08:00 ] / | SQL: SHOW COLUMNS FROM `jd_items_tags_item` [ RunTime:0.000420s ]
